AAPL,0.08074939
MSFT,0.06960769
AMZN,0.04239595
TSLA,0.02687334
GOOGL,0.02508485
GOOG,0.02314192
NVDA,0.01955123
FB,0.01536996
UNH,0.01437010
JPM,0.01199371
V,0.01102318
PG,0.01101878
HD,0.00936931
MA,0.00924453
BAC,0.00877621
PFE,0.00865665
ABBV,0.00858773
COST,0.00762656
AVGO,0.00761395
DIS,0.00746359
LLY,0.00727224
KO,0.00721292
CSCO,0.00706366
TMO,0.00695648
PEP,0.00693152
ADBE,0.00643397
ACN,0.00642862
VZ,0.00640819
CMCSA,0.00631425
MRK,0.00623223
ABT,0.00616146
INTC,0.00600691
CRM,0.00598943
DHR,0.00556870
MCD,0.00553515
AMD,0.00535251
UNP,0.00526520
QCOM,0.00516047
TXN,0.00508369
T,0.00506552
NKE,0.00500013
LIN,0.00493739
NFLX,0.00485155
BMY,0.00476871
UPS,0.00464494
MDT,0.00446090
SPGI,0.00425784
LOW,0.00408149
PYPL,0.00407921
AMGN,0.00404497
ORCL,0.00399451
CVS,0.00398824
INTU,0.00380932
SCHW,0.00379717
CAT,0.00361124
ANTM,0.00360176
PLD,0.00356401
AMAT,0.00350660
DE,0.00347125
MS,0.00346191
AXP,0.00344919
AMT,0.00339840
NOW,0.00333526
BLK,0.00326678
GS,0.00324743
ISRG,0.00320776
C,0.00317550
SBUX,0.00313621
TGT,0.00304411
BKNG,0.00288167
ADP,0.00285999
SYK,0.00279457
CB,0.00274874
ZTS,0.00268492
BX,0.00266093
MU,0.00261791
MMC,0.00259122
MDLZ,0.00258578
CME,0.00256106
CSX,0.00247490
CCI,0.00237846
CI,0.00234116
PNC,0.00233924
BDX,0.00226991
TMUS,0.00226473
LRCX,0.00225961
TFC,0.00224850
GILD,0.00223163
ICE,0.00220699
EW,0.00217237
TJX,0.00216555
REGN,0.00213420
USB,0.00213362
AON,0.00212846
WM,0.00199931
PGR,0.00199493
EQIX,0.00198879
VRTX,0.00198465
F,0.00197820
ITW,0.00196931
CHTR,0.00196856
SQ,0.00194373
NEM,0.00190683
CL,0.00189812
BSX,0.00187922
EL,0.00186213
ATVI,0.00185459
HCA,0.00183416
FIS,0.00182612
MRVL,0.00181822
FISV,0.00181195
PANW,0.00179935
SHW,0.00179511
PSA,0.00176194
MRNA,0.00174784
UBER,0.00172077
FDX,0.00169850
HUM,0.00167969
MELI,0.00166919
APD,0.00165702
KLAC,0.00165552
MCO,0.00163680
COF,0.00161795
AIG,0.00156018
DG,0.00155944
SNPS,0.00153408
ILMN,0.00152652
ADM,0.00151000
DXCM,0.00148119
MET,0.00146846
NXPI,0.00146721
CNC,0.00146306
MAR,0.00142692
CTSH,0.00141912
ADSK,0.00140632
DOW,0.00140178
SNOW,0.00138550
IDXX,0.00138417
MCK,0.00138015
WDAY,0.00137386
FTNT,0.00137331
JCI,0.00137165
ORLY,0.00136653
CDNS,0.00134950
CRWD,0.00134941
PRU,0.00133362
IQV,0.00131940
TRV,0.00131680
PAYX,0.00131439
SPG,0.00128028
AZO,0.00126258
CTVA,0.00125715
WELL,0.00125369
KR,0.00125368
SYY,0.00124798
LULU,0.00124780
AFL,0.00124696
KMB,0.00124533
HLT,0.00124059
MCHP,0.00122469
GIS,0.00122419
TEAM,0.00122335
NUE,0.00120848
MSI,0.00119954
A,0.00119454
MSCI,0.00118873
DLR,0.00118535
HPQ,0.00117492
O,0.00117334
BAX,0.00117158
ALL,0.00115879
GPN,0.00115785
DD,0.00112845
DDOG,0.00112678
SBAC,0.00111111
CTAS,0.00110585
BK,0.00109560
EBAY,0.00106961
DLTR,0.00106864
AJG,0.00106483
TT,0.00106146
EA,0.00105959
